iter	Passed	Remaining
0	129	63369
1	265	64810
2	401	65343
3	540	65750
4	664	64558
5	786	63570
6	905	62628
7	1025	61899
8	1154	61834
9	1278	61513
10	1417	61861
11	1559	62233
12	1681	61814
13	1806	61551
14	1943	61676
15	2076	61650
16	2215	61784
17	2341	61522
18	2471	61403
19	2600	61232
20	2723	60955
21	2855	60874
22	2994	60928
23	3116	60640
24	3249	60565
25	3376	60389
26	3505	60239
27	3649	60350
28	3799	60530
29	3944	60612
30	4107	60946
31	4246	60911
32	4404	61129
33	4546	61114
34	4695	61174
35	4843	61218
36	5001	61367
37	5150	61394
38	5295	61374
39	5452	61475
40	5619	61676
41	5765	61641
42	5908	61561
43	6045	61416
44	6195	61408
45	6332	61256
46	6476	61185
47	6623	61126
48	6770	61071
49	6909	60942
50	7046	60794
51	7182	60635
52	7321	60509
53	7484	60567
54	7632	60508
55	7776	60406
56	7914	60259
57	8058	60158
58	8201	60050
59	8378	60182
60	8537	60179
61	8687	60114
62	8825	59959
63	8973	59870
64	9102	59657
65	9251	59571
66	9403	59505
67	9562	59485
68	9710	59390
69	9850	59243
70	10001	59163
71	10138	58999
72	10283	58882
73	10426	58754
74	10571	58634
75	10716	58515
76	10855	58364
77	11002	58256
78	11139	58093
79	11276	57933
80	11415	57782
81	11554	57630
82	11698	57504
83	11839	57367
84	11985	57246
85	12128	57114
86	12297	57105
87	12463	57075
88	12635	57073
89	12798	57024
90	12969	57010
91	13137	56978
92	13312	56971
93	13470	56890
94	13611	56737
95	13741	56538
96	13902	56469
97	14045	56325
98	14188	56178
99	14328	56025
100	14473	55886
101	14639	55832
102	14808	55781
103	14966	55693
104	15116	55572
105	15261	55432
106	15415	55321
107	15556	55168
108	15702	55030
109	15853	54910
110	16006	54796
111	16164	54698
112	16324	54608
113	16454	54414
114	16590	54242
115	16772	54222
116	16939	54148
117	17076	53980
118	17207	53792
119	17349	53637
120	17487	53473
121	17633	53335
122	17785	53212
123	17945	53111
124	18187	53254
125	18388	53267
126	18565	53211
127	18770	53231
128	18928	53116
129	19089	53009
130	19092	52468
131	19265	52397
132	19416	52263
133	19576	52154
134	19730	52030
135	19879	51890
136	20029	51755
137	20173	51603
138	20312	51438
139	20449	51270
140	20587	51104
141	20726	50941
142	20879	50810
143	21023	50661
144	21175	50530
145	21313	50364
146	21447	50190
147	21577	50006
148	21709	49830
149	21843	49657
150	21987	49508
151	22130	49357
152	22268	49194
153	22415	49051
154	22561	48907
155	22699	48746
156	22836	48582
157	22972	48415
158	23110	48255
159	23245	48088
160	23382	47927
161	23517	47760
162	23653	47597
163	23794	47443
164	23940	47300
165	24074	47134
166	24221	46992
167	24358	46832
168	24499	46679
169	24641	46529
170	24779	46370
171	24910	46200
172	25039	46026
173	25173	45862
174	25332	45743
175	25336	45347
176	25482	45206
177	25616	45044
178	25752	44886
179	25887	44727
180	26015	44557
181	26145	44389
182	26279	44229
183	26414	44071
184	26549	43914
185	26697	43778
186	26838	43630
187	26968	43464
188	27096	43297
